input,output
constellations have entered, true
the story BLANK has been born, true
nebula NEBULA has issued a new revelation, true
the character BLANK has a favourable impression of you, true
the item BLANK has been acquired, true
the exclusive skill slot has been activated, true
the exclusive skill character list is activated, true
0 coins have been earned as additional compensation, true
physique lv 0 > physique lv 0, true
a few constellations are nervously looking at you, true
, true
the dokkaebi BLANK has used BLANK on you, true
what did i say you shouldve chosen well when you had the chance how pitiful, false
this achievement can be viewed after becoming a constellation, true
compensation settlement is delayed due to an unexpected scenario check please wait, true
the exclusive skill BLANK is shaking, true
the main scenario has arrived, true
hrmm release havent you looked outside do you really want to go out there the dokkaebi chuckled it is somehow admirable in fact i didnt expect much from this carriage but you managed to pass the first scenario this proves that even bugs deserve to survive, false
kill the giants, false
constellations of absolute good frown at your cruelty, true
the constellation BLANK reproaches you on your late return, true
the constellation BLANK is interested in your choice, true
huh, false
constellations have sponsored you 0 coins, true
what, false
mjolnir  replica agrade blunt weapon, false
transfer to the next scenario has begun, true
giant story BLANK is protecting the best narrator, true
no this isnt an issue you can dismiss you destroyed a constellations idol do you want to see my channel fail once the BLANK begins to talk, false
a little human has very amazing dreams, false
damn you know all sorts of things bihyung grumbled while uploading the item to the dokkaebi auction his desires were simple this guy might listen better than i thought, false
the constellation BLANK likes your impudence, true
0 coins have been acquired, true
giant story BLANK is ending the story, true
the constellation korean empire invader is requesting help from the other constellations of japan, true
the nebula BLANK is requesting a representative change, true
sssclass ferrarigini, true
the third scenario is currently in progress, true
 if you come now i will give you a chance to become one with yoo joonghyuk , false
you have earned the semimythgrade story, true
hey how long are you going to sleep, false
0 coins have been sponsored, true
the constellation BLANK is watching your choice, true
the constellation BLANK is shaking his head, true
the constellation BLANK is opening his status, true
you have gained BLANK as a helper, true
 i want to eat you , false
you are approaching the outside region be careful not to leave the scenario area, true
the constellation BLANK is greatly displeased at your choice, true
this year there are four, false
some constellations are greatly affected by the truth of the filtering, true
if so you know that you cant win this game, false
due to the scenario possibility you have become the owner of the gilobat industrial complex, true
you are still using that line athena whenever we cut the ing demons together nothing has changed, false
my husband was curious about your story and i gave him a bit of entertainment but it ends here, false
i am the archangel gabriel, false
the characters who appeared in the myth are reconstructed, true
this reminds me of me in my prime with this type of talent he might be able to catch up with me after a long time, false
your agility has reduced the air resistance, true
right after becoming our child i see youre already learning to deceive us, false
a constellation wearing a straw mat is furious at your atrocious actions, true
dokjayah heewonah lets go lets utterly smash those  demon kings apart, false
shit chase him, false
constellations belonging to black cloud are shaken by the anger of the abyssal black flame dragon you wont be sponsored by any of the black cloud constellations for a while, true
you are currently imprisoned for committing a criminal offense on the legal zone, true
it will take some time before that fellows anger has sufficiently cooled down, false
, false
archangel uriel is your brother raphael well i want you to tell him that i havent forgotten the debt, false
are you doubting the BLANK right now, false
some of the probability constraints on the disaster have been lifted, true
the constellation BLANK is convinced of your judgment, true
persephone said that BLANK must be the best story huhu, false
huhu you are really cocky to shoot at the sky, false
the BLANK says you arent qualified yet, true
final blow han myungoh, false
how, false
yoo joonghyuk i will repay the grudge of immeasurable austerity, false
if he fully descends it isnt possible even with my strength we have to attack now, false
 what if the ending they wanted was to die with you there do you still want to save them , false
you are currently in the expedition area of island 0 find a village with guides, true
physique lv 0 > physique lv 0, true
uwaaaack save me, false
its been a while kim dokja, false
intermediate dokkaebi BLANK you shall be arrested for violating the star stream regulations, false
the constellation BLANK is watching your choice, true
some constellations might be unfamiliar with this stage it is a very old place and it is rarely used anymore it has been lost in the flow of the time, false
lets go to the interstellar city it will take around 0 minutes to complete the transmission please prepare yourself an amazing world is waiting for you, false
i know you are worried about the incarnations but the scenario wont be over just because you interfere some of you have received a blow that nearly destroyed you why the hell did you do this just look at the probability all the lower constellations have collapsed, false
the members of kim dokjas company responded to the unreasonable scenario composition of gigantomachia, true
you have earned 0 coins as compensation, true
the constellation BLANK expects a fair judgment, true
the star stream is currently evaluating your level, true
the constellation BLANK is getting out some cider to go with the sweet potatoes, true
it is because the three goddesses of fate have caught a glimpse of your fate, false
thats right, false
this this crazy bastard, false
available bookmark slots 0, true
your reading speed has increased due to the effect of the exclusive attribute, true
the stigma BLANK has been used, true
magic power lv 0 > magic power lv 0, true
the 0th grade demon BLANK was killed, true
the participant BLANK will receive the position compensation effect, true
0, false
all types of access to the carriage will be restricted until the scenario is complete, true
the first auction price is 0 coins, true
your understanding of the character BLANK has rapidly increased, true
the story BLANK is afraid of the giant story, true
a person who looks backwards in the underworld will feel regret you need to understand that the time has passed, false
the constellation BLANK is grabbing his belly and laughing, true
the harbin sniper will gain a 0 hit rate, true
do you know originally there were no sheep in eden, false
some parts of the story are damaged due to incorrect transmission, true
you can check the information of the person by updating character list do you want to update it, true
the star stream will assign you to the scope of your constellation, true
the exclusive skill character list is activated, true
your understanding of the character BLANK has increased, true
i dont want to be nosy but why dont you buy something else for example this woryeong sword technique it is originally 0 coins but i will now sell it for 0 coins wouldnt buying this be more helpful to clear the scenario, false
the influence of the exclusive skill BLANK is slowly returning, true
it isnt just you but the nebulae isnt that right, false
the exclusive skill BLANK is activated, true
channel  bir0 has been forced to leave after having the subscriptions reduced, true
the attribute of character BLANK is blossoming, true
the constellation BLANK is wary of you, true
experience capturing a wild boar, false
bi0 channel is open, true
0 coins have been sponsored, true
is that true hermes, false
yes you , false
zeus poseidon or anyone else, false
prisoner BLANK has received one penalty point, true
abaat abaat, false
this is a constellation will it sign with an insignificant human, false
magic power enhancing ampoule, true
eyes that see the forbidden has been eliminated from the scenario, true
hhiiik nno, false
the constellation BLANK is angry at your comments, true
the constellation BLANK has entered the channel, true
who, false
the constellation BLANK is satisfied and has sponsored you 0 coins, true
the fourth wall is shaking, true
your BLANK is well known in the star stream, false
in connection to the demon realm convention im going to give you a new assignment, false
gir0 channel is active, true
due to a conflict error with your exclusive skill the privilege of king of no killing would be delayed, true
the constellation BLANK is listening, true
what, false
the story BLANK has been acquired, true
you have earned 0 coins, true
0 coins have been acquired as a main scenario reward, true
this time it isnt bad to start early, false
dont tell me, false
nebula hahahaha since when has the gourmet association cared for such a thing, false
i was originally thinking the beginning should be more boring, false
the skill can only be used by a BLANK, true
uwaaaah, false
lets start the main scenario, false
the constellation BLANK wants your blood, true
exclusive skill omniscient readers viewpoint stage 0 has been activated, true
the character BLANK wants to practice justice of his own will, true
your physique level has risen, true
then, false
the status is a power you cant afford, true
the character BLANK used BLANK on your smartphone, true
the nebula BLANK is looking at your fate, true
i will decide how to deal with uriel, false
who will compensate us for the pain of having our BLANK taken away, false
your incarnation body is too unstable to use that skill, true
the remaining capture time is 0 minutes, true
surya did the demon hunting turn out well, false
the demon king BLANK has put a terrible curse on the person who dealt the final blow, true
you rarely like incarnations i think you particularly like that child am i mistaken, false
brat i like you because you understand quickly then im counting on you, false
constellations wwhy are you suddenly leaving ddont go just wait a little longer, false
do you think you can win, false
you have purchased two aintern temples purification water, true
constellations of silla are bearing your probability together, true
 ohh , false
a few constellations are holding their breaths, true
current karma points 0, true
the eggs hatching is imminent, true
the 0rd grade demon BLANK is telling the story of bug slaughter, true
now i want to see BLANK being broken, false
the constellation BLANK is frowning, true
hunt the BLANK in 0 minutes otherwise the star stream will determine that you have no intention to carry out the activities of a disaster, true
gabriel, true
the exclusive skill BLANK is reactivated independently of your will, true
there is currently a delay in the compensation due to an error in the star stream system, true
 current number of incarnations 0 people, true
the fourth wall is saying not to listen, true
the scenario is just a scenario in addition that scenario has ended thats all that my hammer and i know, false
the character BLANK is about to evolve, true
you have killed the demon marquis BLANK, true
the remaining members of the dongmyo group are waiting for your decision, true
ah shit really, false
the constellation BLANK is expecting your brilliant strategy, true
the character BLANK has used BLANK, true
damn ill have to cut the ad short constellations hold on a second ill adjust the volume, false
you have experienced the first person supporting role viewpoint, true
the constellation BLANK is sighing, true
the great hole, true
constellations have entered, true
whether it is murim or olympus giants always get the same treatment, false
it has been a while is this the first time since the last banquet, false
it is small, false
some constellations are condemning your cowardice, true
you are the largest contributor to this scenario, true
0 coins exchange ticket, true
the second head of the snake has been sacrificed, true
wow amazing, false
dont you understand 0, false
good then lets have a sweet rewards time, false
why isnt my strength enough you can become the strongest of this age with just my stigma, false
the remaining capture time is 0 minutes, true
the stats of the players will be automatically adjusted based on the difficulty of the game, true
your complex understanding of this person is insufficient, true
NEBULA is stunned by your accomplishment, true
everyone of kim dokjas company do you know who i am i am bihyung branch manager of the, false
the fourth wall greets the unidentified wall with pleasure, true
from now on all kings cant receive the support of their sponsor, true
you have acquired a new story, true
there is a message that the queen left, false
the free solo time is 0 minutes, true
some constellations oppose the dokkaebis speech, true
now that youve become a constellation you must consume proper stories to survive you wont be able to absorb enough nutrients through the foods of regular humans i hope that as youre an adult now youve managed to fix your picky eating habit, false
you have acquired a mythgrade story, true
the 0th grade parasite antinus is looking at you, true
candidate 0 has gained 0 points, true
i didnt say there could be no interference, false
you are currently under the protection of the scenario, true
constellations of the great battlefields praise your will, true
congratulations you have passed all the tests of the absolute throne, true
the administrator of the island is concerned about the fairness of the skill you are using, true
look constellations this is what you want, false
is it the queen of the underworld, false
you have all your helpers, false
entry into the temporary channel has temporarily delayed the collapse of your incarnation body, true
there is no reversal of the ruling in addition we cant allow hostilities in this place, false
giant story BLANK is excluding your existences, true
he is the founder of BLANK do you know the big golden statue in gwanghwamun, false
the constellation BLANK scoffs at the historicalgrade constellations, true
the constellation BLANK is furious, true
the constellation BLANK is asking what you mean, true
your understanding of the character BLANK has increased, true
the constellation BLANK declares that he will donate coins to anyone who kills a removal slave, true
the new story BLANK has been created on peace land, true
the constellation BLANK is looking at you with sad eyes, true
the character BLANK feels a faint loyalty to you, true
the constellation BLANK is making a sullen expression, true
the constellation BLANK is impressed with your good deed, true
the exclusive skill BLANK is activated, true
the exclusive skill BLANK is activated, true
incarnation BLANK is looking at his sponsor, true
the story BLANK is shining, true
you have experienced all facets of BLANK, true
constellations of the nebula BLANK are wary, true
the constellation BLANK is surprised and looks at his incarnation, true
the character BLANK has used unidentified wall lv 0, true
i have prepared something for all of you you who are unlucky lucky or worked hard you have a chance to become BLANK overnight, false
the constellation BLANK has jumped and changed her expression, true
the constellation BLANK is looking at you with compassion, true
the constellation BLANK is actively giving off annoyance, true
constellation BLANK believes that BLANK is correct, true
measuring the BLANK of the target, true
the BLANK is looking at the fourth wall, true
the constellation BLANK is looking at the party, true
the constellation BLANK is cheering, true
the constellation BLANK says you need greater adversity, true
BLANK speaks to you BLANK, true
the constellation BLANK is hoping you wont make any unnecessary sacrifices, true
you have defeated the BLANK of the industrial complex, true
constellation BLANK is paying attention to your voice, true
incarnation BLANK has an 0 share in the giant story BLANK, true
the constellation BLANK is wondering about your words, true
the character BLANK has used blink lv 0, true
the story BLANK has been acquired, true
your BLANK has started talking, true
the exclusive skill BLANK is activated, true
the constellation BLANK is inviting you to the gourmet association, true
the nebula BLANK is waiting for your resurrection, true
once again you cant use skills here return to your seat otherwise you will be bound by the authority of the BLANK, false
sooner or later you will be eligible to inherit the carnival of lightning of course you could inherit my story and take the BLANK but you are already rumoured to be a prophet and wont inherit my story, false
the constellation BLANK has noticed your identity, true
the constellation BLANK is staring at you, true
the constellation BLANK is looking at you, true
the character BLANK has offset the impact of the attack with BLANK, true
the constellation BLANK says there is a condition, true
the constellation BLANK is enjoying your trials, true
the status of a BLANK is released, true
the constellation BLANK will listen to your request, true
giant story BLANK has begun its storytelling, true
your understanding of the character BLANK is increasing, true
the constellation BLANK is looking at you, true
the game BLANK is loaded, true
character BLANK is under tremendous confusion, true
regional conflict for BLANK is scheduled to take place in the near vicinity of the applicable area, true
the constellation BLANK is feeling an unknown fear, true
the incarnation BLANK has been completely deprived of the rights of a disaster, true
the exclusive skill BLANK is activated, true
the exclusive skill BLANK is activated, true
the incarnation BLANK has used the sixman card, true
the constellation BLANK is delighted for an unknown reason, true
the connection between the demon king BLANK and his household member is temporarily disconnected, true
the constellation BLANK is frowning, true
the character BLANK is on guard against you, true
the station has already been occupied by BLANK, true
the constellation BLANK has recommended your scenario to star stream, true
